City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,bikenibeu village,1.3673,173.1241,26.98,83,20,2.57,KI,1731337735
294,carnarvon,-24.8667,113.6333,21.01,75,13,12.37,AU,1731337736
295,chivilcoy,-34.8957,-60.0167,21.64,26,0,9.46,AR,1731337737
296,nagqu,31.5,92.0,-2.09,50,69,1.38,CN,1731337739
297,las lomitas,-24.7096,-60.593,40.28,17,0,3.59,AR,1731337740
298,sidney,-33.8679,151.2073,18.52,85,100,2.57,AU,1731337601
299,fort bragg,35.139,-79.006,18.91,92,100,4.12,US,1731337742
300,vorgashor,67.5833,63.95,-11.74,98,100,2.82,RU,1731337743
301,rong kwang,18.339,100.3174,21.43,82,30,0.65,TH,1731337744
302,sur,22.5667,59.5289,27.91,62,5,2.81,OM,1731337745
303,kontagora,10.3999,5.4695,34.44,19,2,2.26,NG,1731337747
304,kankauli,16.2667,73.7,23.85,65,75,2.12,IN,1731337748
305,enchanted hills,35.3368,-106.593,5.49,75,90,2.37,US,1731337749
306,itoman,26.1247,127.6694,26.01,89,100,5.14,JP,1731337750
307,cucq,50.4773,1.6202,11.98,76,75,6.17,FR,1731337751
308,port douglas,-16.4833,145.4667,25.57,83,60,3.86,AU,1731337752
309,idri,27.5,13.2667,25.37,20,79,3.16,LY,1731337753
310,hilo,19.7297,-155.09,21.73,73,0,3.09,US,1731337483
311,jiwani,25.05,61.7417,27.85,70,50,5.87,PK,1731337756
312,demre,36.2537,29.9777,16.19,74,6,1.89,TR,1731337757
313,antsiranana,-12.2787,49.2917,26.3,80,79,6.3,MG,1731337758
314,antonio enes,-16.2325,39.9086,28.02,76,6,7.17,MZ,1731337759
315,bim son,20.0781,105.8603,24.22,78,4,1.54,VN,1731337760
316,ibarreta,-25.2144,-59.8585,39.65,19,0,3.5,AR,1731337761
317,bengkulu,-3.8004,102.2655,24.83,88,97,1.7,ID,1731337762
318,al muwayh,22.4333,41.7583,26.23,15,90,4.36,SA,1731337763
319,clifton,40.8584,-74.1638,17.41,77,0,6.69,US,1731337515
320,poronaysk,49.2167,143.1167,-1.65,64,37,4.0,RU,1731337766
321,ribeira brava,32.65,-17.0667,25.56,61,0,3.12,PT,1731337767
322,paita,-5.0892,-81.1144,21.39,71,65,3.75,PE,1731337768
323,berezovyy,51.6667,135.7,-6.91,65,100,1.56,RU,1731337769
324,port blair,11.6667,92.75,27.02,83,40,1.03,IN,1731337770
325,tofol,5.3248,163.0078,28.28,77,100,6.23,FM,1731337771
326,ebon,4.582,168.6964,28.28,77,100,6.51,MH,1731337772
327,tolanaro,-25.0319,46.9987,26.15,83,11,6.27,MG,1731337774
328,mil'kovo,55.6078,37.7956,1.86,53,78,1.28,RU,1731337775
329,alesund,62.4723,6.1549,10.97,82,75,4.63,NO,1731337776
330,racine,42.7495,-88.0751,11.74,80,75,4.63,US,1731337777
331,hancheng,32.5186,112.3522,16.69,65,8,2.95,CN,1731337779
332,nova sintra,14.8667,-24.7167,27.06,70,0,9.35,CV,1731337780
333,cannonvale,-20.2833,148.7,24.66,72,77,3.75,AU,1731337782
334,pawni,20.7833,79.6333,22.57,59,2,1.78,IN,1731337783
335,ladek-zdroj,50.3437,16.8795,1.34,84,0,1.48,PL,1731337784
336,conceicao da barra,-18.5933,-39.7322,25.81,65,58,4.52,BR,1731337785
337,jumla,29.2747,82.1838,7.54,88,27,0.85,NP,1731337786
338,palikir - national government center,6.9248,158.1611,27.18,81,100,7.06,FM,1731337787
339,rosetta,31.4044,30.4164,20.62,63,100,5.2,EG,1731337788
340,khrenovoye,51.12,40.2889,4.17,65,97,2.48,RU,1731337790
341,ko samui,9.5357,99.9357,27.91,77,85,4.27,TH,1731337791
342,as sulayyil,20.4607,45.5779,26.55,21,0,3.16,SA,1731337792
343,mana,5.6592,-53.7767,26.64,80,100,4.53,GF,1731337793
344,nidadavole,16.9167,81.6667,26.17,78,85,2.87,IN,1731337794
345,youhao,47.8667,128.8333,-1.67,76,100,1.18,CN,1731337795
346,la'ie,21.6477,-157.9253,23.92,90,5,2.68,US,1731337796
347,santa ana,33.7456,-117.8678,14.96,50,20,1.54,US,1731337797
348,sooke,48.3746,-123.7276,10.32,95,100,7.23,CA,1731337799
349,sheridan,44.8333,-106.9173,8.99,69,49,0.61,US,1731337800
350,asau,46.4333,26.4,3.26,67,100,0.99,RO,1731337801
351,nadym,65.5333,72.5167,-17.38,96,100,6.41,RU,1731337802
352,cockburn town,21.4612,-71.1419,27.74,83,35,9.48,TC,1731337803
353,zhezqazghan,47.7833,67.7667,-2.68,93,100,5.0,KZ,1731337804
354,bonthe,7.5264,-12.505,31.36,59,20,5.05,SL,1731337805
355,santa luzia,-19.7697,-43.8514,29.32,52,9,2.0,BR,1731337807
356,zaigrayevo,51.8336,108.2703,-14.53,98,24,0.83,RU,1731337808
357,khon buri,14.5254,102.2459,22.43,86,13,0.24,TH,1731337809
